date,tick_type,crag_name,route_name,grade,area_name,tries,rating,notes,partner,style
2018-10-08,attempt,Roter Fels,Luftikus,8,Sektor 2,1,3,,,sport
2020-04-11,redpoint,Kugelspielturm & Brüchige Wand,Zentrale Südwand,6,Brüchige Wand,3,,,,sport
2020-04-11,redpoint,Kugelspielturm & Brüchige Wand,Kletterkursweg,5,Brüchige Wand,3,,,,sport
2020-04-11,redpoint,Graischenstein,Alte und Jungnasen,7+,Sektor 2,3,,,,sport
2020-04-11,attempt,Graischenstein,En Mobilette,7,Sektor 2,1,,,,sport
2020-04-11,redpoint,Kugelspielturm & Brüchige Wand,Direkter Alter Weg,6,Brüchige Wand,3,,,,sport
2020-04-11,redpoint,Graischenstein,Sissi,7+,Sektor 2,3,,,,sport
2020-04-19,attempt,Treunitzer Klettergarten,B(l)aumann spezial,8-,Treunitzer Klettergarten,1,,,,sport
2020-04-19,onsight,Treunitzer Klettergarten,Räuchermännchen (R 12c),5-,Treunitzer Klettergarten,1,,,,sport
2020-04-19,attempt,Treunitzer Klettergarten,Nimm‘s leicht,8,Treunitzer Klettergarten,1,,,,sport
2020-04-19,onsight,Treunitzer Klettergarten,Schlappohralarm,6+,Treunitzer Klettergarten,1,4,,,sport
2020-04-23,attempt,Treunitzer Klettergarten,B(l)aumann spezial,8-,Treunitzer Klettergarten,1,,,,sport
2020-04-23,redpoint,Treunitzer Klettergarten,Rockys Kauknochen,7+,Treunitzer Klettergarten,1,,,,sport
2020-04-23,redpoint,Treunitzer Klettergarten,Schlappohralarm,6+,Treunitzer Klettergarten,3,,,,sport
2020-04-23,redpoint,Treunitzer Klettergarten,Rockys Kauknochen,7+,Treunitzer Klettergarten,3,,,,sport
2020-04-26,attempt,Radan Svec Ged.-Wand,Radanator,8,Radan Svec Ged.-Wand,1,4,"Schöner Fels, schöne Tour. Weiter Haken von 4 auf 5 aber sehr sicher. Aufstieg lohnt  ",,sport
2020-04-26,onsight,Radan Svec Ged.-Wand,Czeská Láska,5+,Radan Svec Ged.-Wand,1,4,,,sport
2020-04-26,onsight,Radan Svec Ged.-Wand,Das Leichte und das Schwere,5,Radan Svec Ged.-Wand,1,4,,,sport
2020-04-26,redpoint,Radan Svec Ged.-Wand,Das Leichte und das Schwere,5,Radan Svec Ged.-Wand,3,,,,sport
2020-04-26,redpoint,Radan Svec Ged.-Wand,Czeská Láska,5+,Radan Svec Ged.-Wand,3,,,,sport
2020-05-12,onsight,Katzenlöcher,Bremse auch für Schwaben,7-,Katzenlöcher,1,,,,sport
2020-05-12,onsight,Katzenlöcher,Fer-May-Weg,5,Katzenlöcher,1,4,,,sport
2020-05-12,attempt,Katzenlöcher,Pickel im Nacken,8-,Katzenlöcher,1,,,,sport
2020-05-12,onsight,Katzenlöcher,Direkte Talseite,6,Katzenlöcher,1,4,,,sport
2020-05-12,onsight,Katzenlöcher,Tempo Kacker,6+,Katzenlöcher,1,3,,,sport
2020-05-12,onsight,Katzenlöcher,Sad Lisa,6,Katzenlöcher,1,,,,sport
2020-06-14,flash,Ruine Riegelstein,Rizzi bizzi,6,Sektor 1,1,,,,sport
2020-06-14,onsight,Ruine Riegelstein,Nix auf der hohen Kante,6+,Sektor 1,1,,,,sport
2020-06-14,onsight,Ruine Riegelstein,Luginsland,5-,Sektor 1,1,,,,sport
2020-06-14,attempt,Ruine Riegelstein,Tempolimit,8-,Sektor 2,1,,,,sport
2020-06-14,redpoint,Ruine Riegelstein,A 7,8-,Sektor 2,2,,,,sport
2020-06-14,flash,Ruine Riegelstein,Höllenfahrt,7,Sektor 1,1,,,,sport
2020-06-14,onsight,Großenoher Wand,Fliegendes Frettchen,6,Großenoher Wand,1,5,hoher erster Hacken ,,sport
2020-06-14,onsight,Ruine Riegelstein,Verjüngende Kluft,5,Sektor 1,1,,,,sport
2020-06-14,attempt,Großenoher Wand,Prost Paul,8-,Großenoher Wand,1,5,hart für den grad. Am Fels steht 8+,,sport
2020-06-30,onsight,Grüne Hölle,Range Rover,7,"Sektor 2 (UW, OT)",1,5,,,sport
2020-06-30,redpoint,Grüne Hölle,Pezi,6,"Sektor 1 (GW, Pezi, GT)",3,,,,sport
2020-06-30,onsight,Grüne Hölle,Das Weiß der Geier,5,"Sektor 2 (UW, OT)",1,2,,,sport
2020-06-30,onsight,Grüne Hölle,Pezi,6,"Sektor 1 (GW, Pezi, GT)",1,,,,sport
2020-06-30,onsight,Grüne Hölle,Ebbelwoi Express,7,"Sektor 2 (UW, OT)",1,,,,sport
2020-06-30,attempt,Grüne Hölle,Isolation,8-,"Sektor 2 (UW, OT)",1,,,,sport
2020-07-12,attempt,Schlaraffenland,Vom Feinsten,8-,Hirschbacher Wand,1,,,,sport
2020-07-12,attempt,Schlaraffenland,Alter Weg,6-,Hirschbacher Wand,1,,,,sport
2020-07-12,onsight,Schlaraffenland,Muckefuck,6+,Hirschbacher Wand,1,3,,,sport
2020-07-12,redpoint,Schlaraffenland,Vom Feinsten,8-,Hirschbacher Wand,2,,,,sport
2020-07-20,onsight,Lucky Luke,Der singende Draht,5,Lucky Luke,1,,,,sport
2020-07-20,onsight,Asterix und Obelix,Direkteinstieg (Asterix),7-,Asterix und Obelix,1,,,,sport
2020-07-20,redpoint,Felsengarten,Rechter Weg,5+,Felsengarten,3,,,,sport
2020-07-20,redpoint,Wildwechsel,Wildwechsel *,7+,Wildwechsel,2,,,,sport
2020-07-20,onsight,Bergspinnenturm,Skorpion,6,Bergspinnenturm,1,5,,,sport
2020-07-20,redpoint,Bergspinnenturm,Skorpion,6,Bergspinnenturm,1,,,,sport
2020-07-20,onsight,Lucky Luke,Der Pony-Express,5+,Lucky Luke,1,,,,sport
2020-07-20,onsight,Wildwechsel,Wilde Wölfe *,5+,Wildwechsel,1,4,,,sport
2020-07-24,flash,Bärnhofer Wand,Frost-Fertinger-Weg,6,Bärnhofer Wand,1,,,,sport
2020-07-24,redpoint,Bärnhofer Wand,Waldrausch,7,Bärnhofer Wand,3,,,,sport
2020-07-24,attempt,Bärnhofer Wand,Gruppenzwang,8+,Bärnhofer Wand,1,,,,sport
2020-07-28,onsight,Haidhofer Schlossbergwand,Nürnberger Weg,6+,Haidhofer Schlossbergwand,1,3,,,sport
2020-07-28,onsight,Haidhofer Schlossbergwand,Wepsenweg,7-,Haidhofer Schlossbergwand,1,2,,,sport
2020-07-28,onsight,Haidhofer Schlossbergwand,Direkter Haidhofer Weg,5+,Haidhofer Schlossbergwand,1,3,,,sport
2020-07-28,onsight,Haidhofer Schlossbergwand,Hummelsteiner Weg,4+,Haidhofer Schlossbergwand,1,,,,sport
2020-09-16,onsight,Ewige Jagdgründe,Goldköpfl,5b,Wig Wam,1,,,,sport
2020-09-16,attempt,Ewige Jagdgründe,Fireline,6c+,Wig Wam,1,,,,sport
2020-09-16,onsight,Ewige Jagdgründe,Via Lisa,5c,Wig Wam,1,,,,sport
2020-09-16,redpoint,Ewige Jagdgründe,El Schuppo,6a+,Wig Wam,2,,,,sport
2020-09-16,onsight,Ewige Jagdgründe,Jean Schampoo,5c,Wig Wam,1,,,,sport
2020-09-19,flash,Zemmschlucht,N.N.,5c,Traumschiff,1,,,,sport
2020-09-19,attempt,Ewige Jagdgründe,Mein Gott Walter lang,7b+,Wig Wam,1,4,As nice as the shorter version. For me it was very hard to clib the last anker last anker ,,sport
2020-09-19,onsight,Ewige Jagdgründe,Mein Gott Walter kurz,6a,Wig Wam,1,,,,sport
2020-09-19,flash,Zemmschlucht,Trumpf,5b,Almrausch,1,,,,sport
2020-09-19,redpoint,Zemmschlucht,N.N.,6c+,Traumschiff,3,,,,sport
2021-07-10,onsight,Rabensteinhorn,Die Schönheitskönigin von Schneizlreuth,6a,Westwand,1,,,,sport
2024-05-19,redpoint,Thalhofergrat,Schoko intensiv,6a,Ostwand,0,4,,,sport
2024-05-19,flash,Thalhofergrat,Schokoladenpudding,5a,Unknown Sector,1,5,,,sport
2024-05-19,redpoint,Thalhofergrat,Betthupferl,6c,Ostwand,10,5,"In my opinion, the most tricky 6b I have tried so far. Still, a nearly perfect climb including a hard slap, an overhang and some massive whippers. ",,sport
2024-05-23,attempt,Thalhofergrat,Palmwedel,6c,Obere Ostwand,1,4,"Nice and occasionally harder than Staubwedel with a hard single crux. Too hard after Betthupferl. According to the local guidebook 6c, which, I think, is fair. ",,sport
2024-05-31,redpoint,Thalhofergrat,Augenblick des Glücks,6c,Ostwand,0,,,,sport
2024-06-05,onsight,Royal Arches,Royal Arches,5b+,Unknown Sector,1,5,Stunning and Beautiful Climb. Got for a long day and to practice for bigger projects.,,sport
2024-06-25,attempt,Kletteranlage Flakturm,Black,7a,,1,5,,,sport
2024-06-25,flash,Kletteranlage Flakturm,White,5b,,1,null,,,sport
2024-06-25,attempt,Kletteranlage Flakturm,Green,7b,,1,5,,,sport
2024-06-30,redpoint,Johannesbachklamm,N.N.,6c+,Mitte,2,4,,,sport
2024-06-30,flash,Johannesbachklamm,Klamauk,5c+,Mitte,1,,,,sport
2024-06-30,redpoint,Johannesbachklamm,Klammprojekt,7a,Links,3,5,,,sport
2024-06-30,flash,Johannesbachklamm,Na,5c,Mitte,1,,,,sport
2024-10-13,onsight,Thalhofergrat,Mäusehochzeit,5c,Untere Thalhoferwand,1,,,,sport
2024-10-13,attempt,Thalhofergrat,Malaria,7a,Obere Westwand,1,,,,sport
2024-10-13,attempt,Thalhofergrat,Malaria,7a,Obere Westwand,1,5,,,sport
2024-12-29,onsight,Giggerl,Samba,5a,Giggerl,1,3,,,sport
2024-12-29,attempt,Giggerl,Giger,6b+,Giggerl,1,3,Loose rock at the upper part and a bit exposed. ,,sport
2024-12-29,onsight,Giggerl,Gecko Alive,6a,Giggerl,1,3,,,sport
2024-12-30,onsight,Hospital,Metal,6b+,Hospital,1,4,,,sport
2024-12-30,redpoint,Hospital,Mega Pipe,6a+,Red Rock,2,4,,,sport
2024-12-30,onsight,Hospital,Disco,6a,Hospital,1,5,Was ein Ausblick und was für eine Tour 😊,,sport
2024-12-30,onsight,Hospital,Giota,6a,Hospital,1,4,,,sport
2024-12-31,attempt,Theós,Dr. Motte Extension,7a,Pillar,2,5,,,sport
2024-12-31,onsight,Theós,Mr. Oizo ext.,6b,Pillar,1,4,,,sport
