"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"ROUTE","Nürnberger Weg","Prellstein","Prellstein",,"DE","2018-04-08T12:00:00Z","go",,"5","0","0","0","6+",,"","18","0","null"
"ROUTE","Theresa","Lug ins Land","Lug ins Land",,"DE","2018-04-08T12:00:00Z","go",,"5","0","0","0","6+",,"","12","0","null"
"ROUTE","Himmelstor","Himmelsfels","Himmelsfels",,"DE","2018-04-08T12:00:00Z","rp",,"5","0","2","0","7+/8-",,"","21","0","null"
"ROUTE","Manche mögen‘s heiß","Klausener Wand","Klausener Wand",,"DE","2018-04-30T12:00:00Z","go",,"5","0","0","0","8",,"","20","0","null"
"ROUTE","Manche mögen‘s heiß","Klausener Wand","Klausener Wand",,"DE","2018-04-30T12:00:00Z","go",,"5","0","0","0","7+/8-",,"","20","0","null"
"ROUTE","Obermühlriss","Klausener Wand","Klausener Wand",,"DE","2018-04-30T12:00:00Z","go",,"5","0","0","0","6+",,"","20","0","null"
"ROUTE","Zufall","Zimmerbergwände","Sektor 1",,"DE","2018-05-06T12:00:00Z","rp",,"5","0","2","0","7-",,"","15","0","null"
"ROUTE","Murmeltier","Zimmerbergwände","Sektor 1",,"DE","2018-05-06T12:00:00Z","go",,"4","0","0","0","7+",,"","15","0","null"
"ROUTE","Zufall","Zimmerbergwände","Sektor 1",,"DE","2018-05-06T12:00:00Z","go",,"5","0","0","0","7-",,"","15","0","null"
"ROUTE","Freundschaft","Zimmerbergwände","Sektor 1",,"DE","2018-05-06T12:00:00Z","go",,"5","0","0","0","7-",,"","15","0","null"
"ROUTE","Armin Weich Ged.-Weg","Zimmerbergwände","Sektor 1",,"DE","2018-05-06T12:00:00Z","os",,"4","0","1","0","5-",,"","15","0","null"
"ROUTE","Murmeltier","Zimmerbergwände","Sektor 1",,"DE","2018-05-06T12:00:00Z","go",,"5","0","0","0","7+",,"","15","0","null"
"ROUTE","Die Kunst des Pirschens","Steinberg","Sektor 2 & 3",,"DE","2018-05-22T12:00:00Z","go",,"2","0","1","0","7-",,"","15","0","null"
"ROUTE","Sonnenkraft","Steinberg","Sektor 2 & 3",,"DE","2018-05-22T12:00:00Z","rp",,"5","0","3","0","8-",,"","15","0","null"
"ROUTE","Dr. Klemminger","Steinberg","Sektor 2 & 3",,"DE","2018-05-22T12:00:00Z","rp",,"5","0","3","0","7-",,"","15","0","null"
"ROUTE","Dr. Klemminger","Steinberg","Sektor 2 & 3",,"DE","2018-05-22T12:00:00Z","go",,"5","0","1","0","7-",,"","15","0","null"
"ROUTE","Im Regen","Steinberg","Sektor 4",,"DE","2018-05-22T12:00:00Z","os",,"4","0","1","0","7+",,"","20","0","null"
"ROUTE","Sonnenkraft","Steinberg","Sektor 2 & 3",,"DE","2018-05-22T12:00:00Z","go",,"5","0","1","0","7+/8-",,"","15","0","null"
"ROUTE","Nur Fliegen ist schöner","Klausener Wand","Klausener Wand",,"DE","2018-05-27T12:00:00Z","go",,"5","0","1","0","8+",,"","20","0","null"
"ROUTE","Luft unter den Sohlen","Klausener Wand","Klausener Wand",,"DE","2018-05-27T12:00:00Z","go",,"5","0","1","0","7+/8-",,"","20","0","null"
"ROUTE","Zum Warmmachen","Klausener Wand","Klausener Wand",,"DE","2018-05-27T12:00:00Z","rp",,"5","0","1","0","7",,"","20","0","null"
"ROUTE","Luft unter den Sohlen","Klausener Wand","Klausener Wand",,"DE","2018-05-27T12:00:00Z","go",,"5","0","1","0","8-",,"","20","0","null"
"ROUTE","Direkte Talseite","Zankelstein","Zankelstein",,"DE","2018-05-31T12:00:00Z","go",,"5","0","1","0","7+/8-",,"","18","0","null"
"ROUTE","Tabaluga","Zankelstein","Zankelstein",,"DE","2018-05-31T12:00:00Z","go",,"5","0","1","0","7+/8-",,"","18","0","null"
"ROUTE","Sprochkante","Zankelstein","Zankelstein",,"DE","2018-05-31T12:00:00Z","go",,"5","0","1","0","6+",,"","18","0","null"
"ROUTE","Kurzum","Henastoa","Henastoa",,"DE","2018-06-04T12:00:00Z","go",,"5","0","1","0","7-",,"","18","0","null"
"ROUTE","Knödala","Henastoa","Henastoa",,"DE","2018-06-04T12:00:00Z","go",,"5","0","1","0","6+",,"","18","0","null"
"ROUTE","Kurzum","Henastoa","Henastoa",,"DE","2018-06-04T12:00:00Z","rp",,"5","0","3","0","7",,"","18","0","null"
"ROUTE","Knödala","Henastoa","Henastoa",,"DE","2018-06-04T12:00:00Z","rp",,"5","0","3","0","6+",,"","18","0","null"
"ROUTE","Minor Threat","Henastoa","Henastoa",,"DE","2018-06-04T12:00:00Z","go",,"5","0","1","0","7-",,"","18","0","null"
"ROUTE","Minor Threat","Henastoa","Henastoa",,"DE","2018-06-04T12:00:00Z","tr",,"5","0","1","0","7-",,"","18","0","null"
"ROUTE","MaPaKaLi","Henastoa","Henastoa",,"DE","2018-07-30T12:00:00Z","os",,"5","0","1","0","5-",,"","18","0","null"
"ROUTE","ClaMaU.C","Henastoa","Henastoa",,"DE","2018-07-30T12:00:00Z","os",,"5","0","1","0","5-",,"","18","0","null"
"ROUTE","Kurzum","Henastoa","Henastoa",,"DE","2018-07-30T12:00:00Z","go",,"5","0","1","0","7",,"","18","0","null"
"ROUTE","Seifertriss","Zehnerstein","Zehnerstein",,"DE","2018-08-02T12:00:00Z","go",,"5","0","1","0","6+",,"","30","0","null"
"ROUTE","Zwei Jahre später","Zehnerstein","Zehnerstein",,"DE","2018-08-02T12:00:00Z","os",,"5","0","1","0","7-",,"","30","0","null"
"ROUTE","Nürnberger Weg","Bärnhofer Wand","Bärnhofer Wand",,"DE","2018-08-05T12:00:00Z","os",,"4","0","1","0","6+",,"","22","0","null"
"ROUTE","Waldrausch","Bärnhofer Wand","Bärnhofer Wand",,"DE","2018-08-05T12:00:00Z","rp",,"5","0","3","0","7",,"","22","0","null"
"ROUTE","Moralapostel","Bärnhofer Wand","Bärnhofer Wand",,"DE","2018-08-05T12:00:00Z","go",,"5","0","1","0","7-",,"","22","0","null"
"ROUTE","Waldrausch","Bärnhofer Wand","Bärnhofer Wand",,"DE","2018-08-05T12:00:00Z","go",,"5","0","1","0","7-",,"","22","0","null"
"ROUTE","Gummitwist mit dem Antichrist","Bärnhofer Wand","Bärnhofer Wand",,"DE","2018-08-05T12:00:00Z","f",,"5","0","1","0","7-",,"","22","0","null"
"ROUTE","Röthelfieber","Röthelfels","Sektor 6 - Depotweg & Zinnenwand",,"DE","2018-08-06T12:00:00Z","os",,"5","0","1","0","7-",,"","40","0","null"
